Elephant_seal_ID,Sex,ProcedureDate,ForagingBloodPairedSubset,ForagingHairPairedSubset,ForagingMusclePairedSubset,FastingBloodPairedSubset,FastingHairPairedSubset,FastingMusclePairedSubset,Foraging_Trip,TimePeriod_Cross_Foraging_Analysis,Fasting_Period,TimePeriod_Cross_Fasting_Analysis,Mass_Procedure_kg,Standard_Length_cm,Blood_THg_ppm_ww,Muscle_THg_ppm_dw,Hair_THg_ppm_dw
T313,Female,5/31/11,Yes,Yes,No,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,310,264,0.58,NA,32.42
T35,Female,6/9/11,Yes,Yes,No,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,327,272,0.63,NA,15.09
T730,Female,5/27/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,299,250,0.45,3.67,15.76
T891,Female,5/31/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,319,259,0.29,2.55,13.48
U259,Female,6/5/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,266,255,0.5,3.96,20.32
U634,Female,6/3/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,261,253,0.4,3.99,14.93
WX444,Female,5/29/11,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,345,275,0.35,2.76,14.88
3243,Female,1/28/13,Yes,Yes,No,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,428,255,0.36,NA,4.28
5777,Male,1/3/13,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Early Fasting,NA,408,0.39,3.87,19.37
5795,Male,1/5/13,No,No,No,Yes,Yes,No,NA,NA,Breeding,Early Fasting,NA,425,0.54,7.39,19.77
6491,Male,1/6/13,Yes,Yes,No,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,NA,395,0.59,7.32,31.31
S105,Female,1/11/13,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Early Fasting,499,279,0.34,4.29,20.71
S126,Female,1/27/13,Yes,Yes,Yes,Yes,Yes,No,Post-molt foraging trip,Post-foraging,Breeding,Early Fasting,566,290,0.36,5.01,22.18
T379,Female,1/18/13,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Early Fasting,499,268,0.39,5.26,22.25
T42,Female,1/12/13,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,470,264,0.25,3.35,12.64
U17,Female,1/2/13,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Early Fasting,399,264,0.35,4.54,20.01
U203,Female,1/23/13,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,518,284,0.21,2.55,2.82
U274,Female,1/25/13,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,494,266,0.3,4.17,19.65
